;userName;content;step01
6781;Hayakawa TH;Aplikasi lemot. Cepat diperbaiki! Sudah banyak yang mengeluh.;aplikasi lemot cepat diperbaiki sudah banyak yang mengeluh
6782;desi nurhusen;Lemot ga maju2 dah berjam2;lemot ga maju dah berjam
6783;Jonathan ivan Diantho;Mohon untuk diperbaiki lagi mungkin server bisa maintain lebih baik lagi soal buat login aja butuh waktu bermenit-menit,;mohon untuk diperbaiki lagi mungkin server bisa maintain lebih baik lagi soal buat login aja butuh waktu bermenit menit
6784;Chandra Arifin;Aplikasi itu membantu Bukan malah menghambat;aplikasi itu membantu bukan malah menghambat
6785;maya rismaamalia;Coba mpasspor ga bisa terus udah beberapa harii , datang langsung ke imigrasi nya malaah tetap diarahkan mpasspor ... dicoba di depan petugasnya biar tau kendala si apk ,malah ga ada solusi.. dan suruh dicoba terus dirumah.. tolong dong jangan mempersulit masyarakat;coba mpasspor ga bisa terus udah beberapa harii datang langsung ke imigrasi nya malaah tetap diarahkan mpasspor dicoba di depan petugasnya biar tau kendala si apk malah ga ada solusi dan suruh dicoba terus dirumah tolong dong jangan mempersulit masyarakat
6786;INDO BRO;Entah lah apa tujuan dari pembuatan aplikasi ini. Terkesan dibiarkan meskipun banyak yang mengeluh terutama masalah LEMOT dan itu memang kenyataannya. Kalu memang tidak bisa diperbaiki lebih baik dihapus saja aplikasinya dari playstore daripada malah bikin emosi. Selamat datang di negara Konoha;entah lah apa tujuan dari pembuatan aplikasi ini terkesan dibiarkan meskipun banyak yang mengeluh terutama masalah lemot dan itu memang kenyataannya kalu memang tidak bisa diperbaiki lebih baik dihapus saja aplikasinya dari playstore daripada malah bikin emosi selamat datang di negara konoha
6787;Tias Tatanka;Kukasih bintang lima karena sangat memudahkan urusan perpanjangan paspor. Mungkin karena tahun baru, jadi lebih sepi. Tapi menurut teman sangat sulit mengaksesnya di saat lain. Aplikasi ini bagus, cuma tetap harus diupgrade. Saat mau print undangan buat wawancara, suratnya nggak bisa diunduh.;kukasih bintang lima karena sangat memudahkan urusan perpanjangan paspor mungkin karena tahun baru jadi lebih sepi tapi menurut teman sangat sulit mengaksesnya di saat lain aplikasi ini bagus cuma tetap harus diupgrade saat mau print undangan buat wawancara suratnya nggak bisa diunduh
6788;Devi Lestari;Parah bgt ini aplikasi,lelet kali pun ntah siapa developer nya ini 🤧 yg kesabaran nya setipis tisu jangan coba-coba pake ini aplikasi lah wkwk;parah bgt ini aplikasi lelet kali pun ntah siapa developer nya ini yg kesabaran nya setipis tisu jangan coba coba pake ini aplikasi lah wkwk
6789;A NY;Lelet, lemot, ga guna.;lelet lemot ga guna
6790;Sintya Tambunan;Aplikasi busuk nak mampos lemot;aplikasi busuk nak mampos lemot
6791;KAU T;Susah sekali mau masuk. Verifikasi berkali kali sampe mo banting HP;susah sekali mau masuk verifikasi berkali kali sampe mo banting hp
6792;nadya yuliyani;lemotttt;lemotttt
6793;Putu Setiawan;Sangat lemot banget,,,,;sangat lemot banget
6794;Andika Fredy;Astaghfirullah halazim, ini bukan mempermudah tapi jadi makin sulit, coba introspeksi aplikasi yg anda buat , lemot sekali setiap mau upload server out, dicoba terus sama, buruk sekali aplikasi ini, tolong dibenahi , kalian lihatlah banyak sekali yg mengeluh di komentar aplikasi ini, sekali lagi tolong dibenahi;astaghfirullah halazim ini bukan mempermudah tapi jadi makin sulit coba introspeksi aplikasi yg anda buat lemot sekali setiap mau upload server out dicoba terus sama buruk sekali aplikasi ini tolong dibenahi kalian lihatlah banyak sekali yg mengeluh di komentar aplikasi ini sekali lagi tolong dibenahi
6795;Nicola firdaus;Janganlah memperluas jasa calo dengan mempersulit aplikasi, loading lama, verrifikasi timeout;janganlah memperluas jasa calo dengan mempersulit aplikasi loading lama verrifikasi timeout
6796;adeni mkauna;Waduh aplikasi y lambat banget nih,klw over capacity tambah dong space y buat jalur aplikasi,klw bgni bikin pusing.pembayaran smpe kadaluarsa krn aplikasi susah banget masuk y.jd komplain ke CS...bukan membuat mudah malah tambah repot....;waduh aplikasi lambat banget nih klw over capacity tambah dong space buat jalur aplikasi klw bgni bikin pusing pembayaran smpe kadaluarsa krn aplikasi susah banget masuk jd komplain ke cs bukan membuat mudah malah tambah repot
6797;Moland Ibr;Lelet;lelet
6798;Black Coffe;Mohon diperbaik, aplikasi ini sangat lemot;mohon diperbaik aplikasi ini sangat lemot
6799;Teddy Wahyu;Aplikasi ABAL ABAL, sekelas lembaga negara kok begini?? BIKIN MALU NEGARA, BIKIN SUSAH MASYARAKAT,BIKIN CALO MERAJALELA, APAKAH ADA DEAL KHUSUS DENGAN PARA CALO???;aplikasi abal abal sekelas lembaga negara kok begini bikin malu negara bikin susah masyarakat bikin calo merajalela apakah ada deal khusus dengan para calo
6800;fiddaraini family;Mau berapa lama sich error nya ?? Lelet banget loading nya. Mohon diperbaiki. Makin susah kalau pakai aplikasi;mau berapa lama sich error nya lelet banget loading nya mohon diperbaiki makin susah kalau pakai aplikasi
6801;Febrian Saputra;Perlu pengembangan aplikasi yg lebih baik lagi;perlu pengembangan aplikasi yg lebih baik lagi
6802;Kayleen Jocelyn;Ga bisa masuk. Server error terus, sudah di coba beberapa hari,, tetap sama. Ujung ujungnya harus pakai calo lagi;ga bisa masuk server error terus sudah di coba beberapa hari tetap sama ujung ujungnya harus pakai calo lagi
6803;Alfian E.W.A.P;Aplikasi apa sih,sampah. Server eror trus. Udah daftar ngisi banyak tdk bisa tersave. Aplikasi sampaaaaaah.;aplikasi apa sih sampah server eror trus udah daftar ngisi banyak tdk bisa tersave aplikasi sampaaaaaah
6804;ANGGIE PRASTIA;Hadeh;hadeh
6805;Technicalsteel55 Samyافيف;Sistem yg sangat buruk;sistem yg sangat buruk
6806;yanyan phang;Verifikasi cukup susah, krn sepertinya server aplikasi krg kuat jdnya loading melulu. Saya sampai hrs minta puluhan kali kode otp br berhasil verifikasi. Untuk upload jg lmyn lama untuk loading melulu, cm kdg kl lg lancar servernya bisa cpt bngt cm butuh 10menit ud daftar seluruh keluarga.;verifikasi cukup susah krn sepertinya server aplikasi krg kuat jdnya loading melulu saya sampai hrs minta puluhan kali kode otp br berhasil verifikasi untuk upload jg lmyn lama untuk loading melulu cm kdg kl lg lancar servernya bisa cpt bngt cm butuh   menit ud daftar seluruh keluarga
6807;Ari Supriyono;Aplikasinya susah masuknya lemot... Gimana min???;aplikasinya susah masuknya lemot gimana min
6808;jibril albarra;Negara ngucurin dana milyaran eeh trnyta orng imigrasi bkin Aplikasi cap tai orang di suruh online tapi aplikasinya lemot minta ampun;negara ngucurin dana milyaran eeh trnyta orng imigrasi bkin aplikasi cap tai orang di suruh online tapi aplikasinya lemot minta ampun
6809;Erika Clarestha;Lemot bgt;lemot bgt
6810;Vredo Adisyah;Aplikasi nya lemot, bukan mudah malah bikin ribed. Kudu banyak sabar.;aplikasi nya lemot bukan mudah malah bikin ribed kudu banyak sabar
6811;LATANSA MUSTIKA;Aplikasi sering bermasalah,kami masyarakat yg merasa jauh dari kantor imigrasi,merasa sangat dirugikan baik dari waktu ataupun biaya,tolong pemerintah berikan solusi terbaik, Belum lagi jamaah pada merasa tidak nyaman,Krena waktu pembuatan tidak bisa dipastikan;aplikasi sering bermasalah kami masyarakat yg merasa jauh dari kantor imigrasi merasa sangat dirugikan baik dari waktu ataupun biaya tolong pemerintah berikan solusi terbaik belum lagi jamaah pada merasa tidak nyaman krena waktu pembuatan tidak bisa dipastikan
6812;Alma Fairuz;Tidak bisa masuk server error otp mulu, tolonglah diperbaiki;tidak bisa masuk server error otp mulu tolonglah diperbaiki
